B-Entrance to Close-Banana \nIncendiary Compatible;he;778.3624;2079.088;136.0313;-11.3741;-143.8203
B-Entrance to Wall \nFlash/Incendiary Compatible;he;863.96875;2444.562;140.0843;-11.506079;-121.02749
Second Mid to Apps \nHE Compatible (JT);molotov;-431.95215;-88.64398;22.03125;-0.154144;3.537933
Apps to Ex-Boiler;flash;1265.9683;-81.98047;256.03125;12.003105;116.050705
Fountain to B-Entrance;smoke;267.95898;2879.0586;164.03125;-3.2021232;-38.923794
Church to B-Default \nHE Compatible;molotov;735.72473;3250.3438;160.03125;-54.102684;-117.32281
Squeaky to Long (JT);smoke;263.0368;-293.94806;99.03125;-19.209435;41.532993
Sandbags to Banana;flash;748.02936;1880.0312;144.03125;-54.15966;177.99292
CT to Banana (JT);smoke;2537.6675;2468.3523;124.593544;-26.076008;-166.40527
CT Instant 4 to Mid (JT);smoke;2353.0115;1977.0112;135.52266;-34.7041;-139.78763
Long to Arch (JT);smoke;1512.9688;820.03876;140.52617;-16.140715;151.19795
Headshot to Short;flash;1932.9441;380.93744;161.03125;-54.237377;96.59604
Coffin to Banana;flash;537.19196;3094.0593;213.02641;-20.094196;-86.014305
Balcony to A-Default \nHE Compatible;molotov;1906.9688;-172.03375;260.03125;-2.906217;-67.22443
Mid to Moto (JT);smoke;45.044724;438.03125;82.03125;-38.665974;9.113349
Connector to Winery (JT);smoke;729.03125;96.2475;89.29566;-52.042236;31.533508
Ex-Boiler to Truck;smoke;1290.472;307.02887;129.53125;-15.004058;-37.450085
Arch to A-Site;smoke;1855.9688;1236.4711;169.53125;-20.717634;-60.127544
Ninja to Moto;smoke;1819.0283;273.68622;161.03122;-5.016968;41.40953
CT Instant 2 to Mid (JT);smoke;2472.387;2007.1998;134.41489;-30.889435;-141.24435
Long to Deep Long \nFlash Compatible (JT);smoke;1512.9688;909.96875;147.52892;-26.521332;169.24884
Barrels to Upper 1st \nAll Utilities Compatible;molotov;409.32596;2009.1512;136.03125;-39.144974;77.874176
Squeaky to Moto (JT);smoke;263.0368;-293.94806;99.03125;-23.703545;26.667099
Mid to Winery (JT);smoke;205.9703;436.77563;82.03125;-32.91207;17.652296
Ramp to Wall;flash;57.015003;927.72876;82.03227;-17.362518;71.62982
Wall to CT Corner (JT);he;430.33493;1773.8555;226.03125;14.903729;61.928608
B-Entrance to Triple \nHE Compatible;molotov;863.96967;2375.46;140.0843;-16.129725;164.79988
CT Instant 1 to Mid (JT);smoke;2456.83;2153.16;132.0625;-29.150162;-138.18192
