Lockers to Secret;incendiary;1056.0314;-620.03125;-415.96875;-16.843273;-85.74487
Lobby to A-Site \nFlash Compatible;smoke;63.044838;-688.03265;-415.96875;-5.517602;-65.025375
Outside to Red;smoke;-466.6665;-1504.7715;-415.96875;-7.411813;-54.068462
Squeaky to Ninja \nHE Compatible;molotov;94.08335;-1184.035;-415.96875;-16.516075;-27.550257
Lower Ramp to Decon;smoke;475.05032;5.03125;-639.96875;0.557075;-94.891205
A-Backsite to Ladder \nMolotov Compatible;he;702.8204;-629.032;-399.96863;-32.433937;43.02492
CT to Outside;incendiary;1791.9675;-948.0574;-351.96875;-18.39211;-141.74535
Roof to A-Default \nFlash Compatible (JT);molotov;3.139235;-769.64844;-95.96875;4.275424;13.835838
Outside to Mini-Blue;smoke;40.04545;-2006.6987;-415.96875;-23.458899;23.889975
A-Site to Squeaky \nHE/Molotov Compatible;smoke;947.971;-1050.8434;-414.96875;-3.443979;-161.08963
T to Heaven (Outside) (JT);smoke;-891.96747;-927.03125;-415.96875;-27.926846;12.463148
Heaven to Blue Box;incendiary;1259.772;-471.9724;-127.96875;8.615132;174.21681
Red to Silo;he;673.5096;-2159.0454;-415.96875;-37.122868;125.08647
Trophy to Upper Ramp;smoke;162.3443;-461.65454;-415.96875;-2.088791;98.01769
Truck to Lockers (WJT);smoke;-1214.9524;-1142.9685;-415.96875;-20.42633;4.340637
Outside to Garage;smoke;40.04545;-2006.6987;-415.96875;-13.75738;3.841613
T to Main (Diagonal) (JT);smoke;-1350.2457;-1036.2303;-415.96875;-44.67248;-19.777512
Dark to B-Plantsite \nMolotov Compatible;he;816.0308;-272.03125;-767.96875;-8.913188;-90.339226
A-Backsite to Lobby;flash;828.4108;-333.1776;-413.96875;-2.8661044;-127.44617
Truck to Secret 1st (JT);smoke;-1068.4368;-1142.9692;-415.96875;-44.77272;-24.556854
CT to A-Site (JT);flash;1957.7378;-280.03174;-351.96875;1.845367;-169.88675
Truck to Garage (JT);smoke;-916.286;-1142.9727;-415.96875;-16.591766;-17.193604
Tetris to Vent \nHE/Molotov Compatible (JT);flash;574.03125;-1120.9666;-415.96875;-54.391895;-110.65716
Outside to Main (Diagonal);smoke;-241.23462;-2015.619;-415.96875;-7.433347;9.834125
Blue to Outside;smoke;1473.0128;-1182.1967;-415.96875;0.634796;-134.34082
Squeaky to Vent;flash;-239.88116;-1359.9686;-415.96875;-5.916611;29.175146
Decon to B-Site;smoke;34.03125;-1671.9673;-767.96875;6.209092;51.56014
Truck to Garage (Diagonal) (JT);smoke;-1268.0277;-1162.3488;-415.96875;-36.928432;-19.14767
Decon to B-Site;flash;296.55017;-1572.0314;-767.96875;-4.560849;152.27568
Roof to Heaven (JT);flash;-95.95697;-717.96875;-171.96875;-1.649914;10.130731
Top Main to Blue/Mini-Blue;flash;702.82043;-1553.0314;-239.96875;-59.733616;-3.926064
Decon to B-Site \nMolotov Compatible;he;287.9692;-1495.9688;-775.96875;-5.912365;153.90372
Mini to Back Vent \nSmoke Compatible;incendiary;720.6347;-1622.5908;-415.96875;-3.453861;127.15719
Lower Ramp to Dark \nHE Compatible;molotov;749.9682;148.18332;-622.13385;0.5512341;-66.159645
Double Doors to B-Site;flash;1072.0312;-880.03345;-767.96875;-75.73221;-90.83344
Outside to Secret;molotov;176.3569;-2037.6013;-415.96875;-16.951794;-16.96968
Windows to Lower Ramp 2nd;smoke;1407.981;-623.9643;-639.96875;-7.004206;160.66197
Roof to Garage;smoke;-359.7041;-1446.8524;-287.96875;-31.805756;-14.316223
Truck to Main (Diagonal) (JT);smoke;-1268.0277;-1162.3488;-415.96875;-48.73624;-17.420958
A-Site to Squeaky \nSmoke Compatible (JT);flash;959.96875;-975.1263;-415.96875;9.131966;-154.5075
Outside to Red;flash;-506.5708;-1624.0768;-415.96875;-9.90173;-27.62833
Lobby to Squeaky;he;-479.37476;-816.03125;-415.96875;4.888418;-41.63447
Outside to Red;molotov;-421.63196;-1749.4343;-415.96875;-15.806581;-16.157417
Heaven to A-Site;flash;1259.8163;-471.96863;-127.96875;-28.11285;5.689558
Outside to Main;smoke;-241.23462;-2015.619;-415.96875;-19.277924;10.043564
Lobby to Main \nFlash Compatible;smoke;-407.35535;-1027.1096;-415.96875;-0.040702;-22.030745
Windows to B-Plantsite \nMolotov Compatible;he;1111.8207;-373.0329;-639.96875;1.213139;-125.84856
Roof to Rafters (JT);molotov;-213.6153;-470.66833;-105.96875;9.147576;-15.110715
