#a_cross_main_title;smoke;-798.96875;1260.486084;-215.96875;-51.99369;-42.179077
#longdog_main_title;smoke;-362.027344;1384.029053;-160.966797;-35.26487;-92.602905
Smoke Conn (JT);smoke;-427.972229;1777.971191;-209.96875;-8.70105;-69.895706
Smoke Connector (JT);smoke;-1499.048584;1479.968018;-170.96875;-34.808979;-45.328026
Smoke Camera (JT);smoke;-1499.03125;1479.967651;-170.96875;-25.848284;-29.216
Molly Back Site;molotov;-764.424011;524.421936;-215.96875;-20.793375;-21.385983
A site flash (JT);flash;-650.054688;1559.738159;-209.804443;-6.461999;-77.218193
B Connector from Garbage (JT);smoke;-420.864929;1424.03125;-215.975464;-38.830143;-61.800339
Smoke Left bomb from halls (JT);smoke;-1040.966187;-1112.474609;-153.96875;4.024948;24.204889
Smoke B side-walk from halls;smoke;-922.031738;-812.491089;-153.96875;21.229477;-13.680044
Molo A Main (JT);incendiary;334.551483;-450.437683;-216.138916;3.322061;133.277145
Flash B Halls;flash;-250.186157;-901.678711;-318.96875;-0.901922;-179.760529
Molo between electric and pop dog;molotov;-873.969482;754.748962;-215.96875;-15.543026;-61.2393
Nade between electric and pop;he;-873.968628;707.980042;-215.96875;-17.952173;-56.420921
Molo window from ramp;incendiary;-763.739014;-922.96344;-213.778015;-30.040823;143.724777
Smoke deep conn (JT);smoke;-671.105835;-514.032593;-35.96875;-25.014603;-2.821003
Smoke deep conn (JT);smoke;-747.96875;-258.355713;28.044758;1.848132;-27.078819
Smoke conn;smoke;-1152.968628;-1098.013794;-100.96875;-16.301846;9.870275
Smoke CT/Molo Conn;smoke;-1152.968628;-1153.96875;-100.96875;-12.023024;7.665501
Smoke back left bomb train;smoke;-1152.96875;-1014.921875;-100.64325;-7.831812;-5.727598
Flash - Ramp Entry (JT);flash;-1146.968628;-1176.667358;-101.96875;14.091126;21.520681
Flash - Ramp Entry;flash;-1152.971069;-1296.493164;-100.96875;-9.778849;33.293541
Smoke Camera (JT);smoke;-1460.96875;1479.967896;-170.96875;-37.762939;-30.068018
Smoke Sandwich (JT);smoke;-2000.0;1434.233154;-171.96875;-27.224936;-23.600021
Molo back left bomb train;molotov;-1152.967773;-974.03125;-100.96875;-10.307497;-7.956883
Smoke Sandwich (JT);smoke;-1844.96875;1479.967407;-170.96875;-24.596033;-25.62417
Smoke conn (JT);smoke;-1460.96875;1479.967407;-170.96875;-36.72892;-45.185863
Nade B Halls (JT);he;106.808937;-1027.059326;-167.96875;7.777368;-178.85524
Molo inside B Halls (JT);incendiary;338.034302;-719.950012;-168.96875;-3.112448;158.893936
Molo B Ramp;molotov;-977.294128;621.353027;17.031248;-21.526403;-89.614311
Flash over Pop Dog;flash;-747.96875;-258.580811;28.044758;-20.273191;-51.479752
Smoke Pop dog (JT);smoke;-427.966675;1777.968262;-209.96875;-10.516005;-90.043823
